Fecha,Registro,Autoridad,Cargo,Categoria,Organismo,Activos,Representados,Materia,NombreRepresentados,NombreActivos
31/07/2017,Audiencia,Felipe De Mussy Hiriart,Diputado,Diputado,CAMARA DE DIPUTADOS,"Felipe Barrueto Avalos,Enzo Napoli,Felipe Del Solar Agüero",,Dar a conocer los planteamientos y propuestas de Uber sobre el proyecto que moderniza la legislación sobre transporte remunerado de pasajeros (Boletín 10937).,1,3
31/07/2017,Audiencia,Germán Verdugo Soto,Diputado,Diputado,CAMARA DE DIPUTADOS,"Carlos David Insunza Rojas,Soledad Verónica  Romero Donoso,José Alejandro Ruminado Cancino",Agrupación Nacional de Empleados Fiscales / ANEF,Presentación de la nueva directiva de ANEF. Materias relacionadas con la Agrupación y declaraciones públicas de diputados.,1,3
31/07/2017,Audiencia,Fidel Espinoza Sandoval,Diputado,Diputado,CAMARA DE DIPUTADOS,"Alejandro Muñoz Rojas,Germán Lafrentz Heinsen",Caja de Compensación y Asignación Familiar Los Héroes,Servicio de Caja Los Héroes en Distrito N° 56.,1,2
31/07/2017,Audiencia,Felipe De Mussy Hiriart,Diputado,Diputado,CAMARA DE DIPUTADOS,Alicia  Mardones,Acción Diferencial,Discriminación Laboral en Carrera Docente. Incumplimiento de igualdad en el pago del bono pago de Mención para los profesores de Educación Diferencial desde el 2008.,1,1
31/07/2017,Audiencia,Jaime Bellolio Avaria,Diputado,Diputado,CAMARA DE DIPUTADOS,"Victoria  Aravena,Liliana Cortés Rojas,Mónica Bonnefoy,Dante Galdani","Fundación Educacional Súmate, Hogar de Cristo","Solicitud de Glosa Presupuestaria para Reinserción Educativa que atenderá a jóvenes excluidos del sistema escolar. Presentación de la red por las trayectorias educativas (Hogar de Cristo, Unicef, Cristo Joven, Chaminade)",2,4
31/07/2017,Audiencia,Claudio Arriagada Macaya,Diputado,Diputado,CAMARA DE DIPUTADOS,"Felipe Del Solar Agüero,Felipe Barrueto Avalos,Enzo Napoli",,Dar a conocer los planteamientos y propuestas de Uber sobre el proyecto que moderniza la legislación sobre transporte remunerado de pasajeros (Boletín 10937).,1,3
31/07/2017,Audiencia,Claudia Nogueira Fernández,Diputado,Diputado,CAMARA DE DIPUTADOS,Hai Kyung Jun,UNICEF Chile,Seguimiento Temas de Infancia. ,1,1
31/07/2017,Audiencia,Clemira Pacheco Rivas,Diputado,Diputado,CAMARA DE DIPUTADOS,"tito  gomez ,arturo arriagada ,luis  cardosso,alejandro  riquelme,juan  quilodran,nelson lagos",,indicaciones al proyecto de ley que moderniza e incorpora el uso de plataformas tecnológicas al trasporte publico ,1,6
31/07/2017,Audiencia,Karla Rubilar Barahona,Diputado,Diputado,CAMARA DE DIPUTADOS,María Camila Quinteros Reillan,60 y Más SpA,Situación actual de las personas mayores y recomendaciones para futuras políticas públicas que contribuyan al bienestar integral de las personas mayores y de las nuevas generaciones de mayores.,1,1
31/07/2017,Audiencia,Romilio Gutiérrez Pino,Diputado,Diputado,CAMARA DE DIPUTADOS,"Juan Gimeno Ormeño,Andy Zepeda Valdés",Asociación Hinchas Azules,Boletín 10634-29 Modificación Ley N°20.019.,1,2
28/07/2017,Audiencia,Pablo Lorenzini Basso,Diputado,Diputado,CAMARA DE DIPUTADOS,"Christian Rodrigo Osorio Rosales,Sylvia Carolina Perez Silva,Carlos Manuel Valdes Bustamante",Federación de Asociaciones de Funcionarios No Docentes de los DAEM de la Región del Maule,Nueva Educación Pública y los servicios locales de educación en la región.,1,3
27/07/2017,Audiencia,Yasna Provoste Campillay,Diputado,Diputado,CAMARA DE DIPUTADOS,"camila javiera,Carmen Garrido", Comité Punta Negra de Copiapo,"Dificultades con la DOM para aprobación del proyecto habitacional, donde participó Ministra de Vivienda, Seremi de Vivienda, Alcalde, serviuy MINVU. ",1,2
27/07/2017,Audiencia,Cristián Monckeberg Bruner,Diputado,Diputado,CAMARA DE DIPUTADOS,"Víctor Julio Martínez González,Rosa Ana Cerda Trujillo",Asociación de Trabajadoras y Trabajadores del SML,Funcionamiento del SML. ,1,2
27/07/2017,Audiencia,Bernardo Berger Fett,Diputado,Diputado,CAMARA DE DIPUTADOS,Edith Marlene García Herrera, Edith MarlenE  García Herrera,Información respecto de situación laboral consultorio externos FENATS,1,1
26/07/2017,Audiencia,Yasna Provoste Campillay,Diputado,Diputado,CAMARA DE DIPUTADOS,"Mauricio Escobar,Pia Godoy,Ruben Cerda,Luis Orostegui,Milza Escobar,Jorge Parra,Mario Ramirez,Eric Escobar",Ruben Cerda,han sido afectados por facturas impagas del proyecto de tendido eléctrico entre Cardones-Polpaico y responsable la Empresa Inter chile,1,8
26/07/2017,Audiencia,Fidel Espinoza Sandoval,Diputado,Diputado,CAMARA DE DIPUTADOS,Tomas Monge Valdes,Asociaci¿n de la Industria del Salm¿n de Chile A.G.,Presentación nuevo Gerente General,1,1
25/07/2017,Audiencia,José Manuel Edwards Silva,Diputado,Diputado,CAMARA DE DIPUTADOS,"Margot Alicia Borel Reidel,Rodrigo Andrés López Henríquez,Álvaro Homero Ibáñez Durán,Carlos Ignacio Latorre Soto,Robinson Matías Díaz Pino,Alex Enrique Ramos Alarcón",Intervial Chile S.A.,Se solicita audiencia con el Sr. diputado con motivo de informarle acerca de los avances del estudio de pre-factibilidad que se están realizando en el marco del proyecto (iniciativa privada de obras por concesión Nº 424 ruta del Villarrica).,1,6
