status,unregistered,ec_representative,created_at,updated_at,date,participants,location,ec_org,cancelled,deregistered,id,subject
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.692792,2015-11-12T13:31:01.599902,2015-11-05T00:00:00,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken(83d0c157a22e4e4aabcce78fe9410aa4),"Germany, Franfurt am Main",Presidency,False,,0e059ef3bb8952d137bd06cc2005e771,"Address to the Wirtschaftstag of the Volksbanken Raiffeisenbanken ""Prosperity – Liberty – Security: Scenarios for a Changing World"""
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.777589,2015-11-12T13:31:01.754718,2015-10-29T00:00:00,SEV Hellenic Federation of Enterprises(a1e311e884ec4ab9a33545f8f66a9dbb),"Brussels, Belgium",Presidency,False,,15701bb04f3362039a044f7f1267f8c6,Meeting with Mr Theodoros Fessas on Economic Situation in Greece
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.797039,2015-11-12T13:31:01.786659,2015-10-12T00:00:00,British Bankers' Association(13c5a434e5a04e428a83491c7199bd47),"Brussels, Belgium",Presidency,False,,8f7be91ca495a621a5246bddd7da2dd9,Meeting with senior bank representatives on current financial regulation issues
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.817079,2015-11-12T13:31:01.808311,2015-10-01T00:00:00,ENGIE(3398b602418f41088f1b5c1b9a82baa7),"Brussels, Belgium",Presidency,False,,752591221da5005e66fc9eb14d1334bb,Meeting with Mr Etienne Davignon on political priorities of this Commission
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.828146,2015-11-12T13:31:01.827719,2015-09-29T00:00:00,EUROPEAN TRADE UNION CONFEDERATION(98893fe0d2554088b253b817a47f535b),"Paris, France",Presidency,False,,fda26026a65926808b0b78edf992bdbe,Opening speech at the Congress of the European Trade Union Confederation
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.865276,2015-11-12T13:31:01.864858,2015-09-22T00:00:00,Atomium Culture(766e7bb317e14427808b243c2d766f52),"Brussels, Belgium",Presidency,False,,58f1216da64268352c9d3013297302d5,"Meeting with Mr d'Estaing, Mr Bonvicini and Ms Widegren on the REIsearch initiative"
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.906884,2015-11-12T13:31:01.894036,2015-09-22T00:00:00,Confédération Française Démocratique du Travail(fdedb3955091443fa790a6897b9e94f8),"Brussels, Belgium",Presidency,False,,30fc24c6507e6cde7958be95bd91465f,Meeting with Mr Laurent Berger on Economic and Social Agenda
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.940850,2015-11-12T13:31:01.924228,2015-09-21T00:00:00,Union of Greek Regions(c14929c4f5ca452eac94bc4ed842394f),"Brussels, Belgium",Presidency,False,,28baebd7a26393c2af90b205a3eaf3da,"Meeting with Mr Konstantinos Agorastos on the situation in the Greek Regions, the European Fund for Strategic Investments and EU structural funds"
active,,President Jean-Claude Juncker,2015-11-12T13:31:01.961342,2015-11-12T13:31:01.960587,2015-09-17T00:00:00,CAISSE DES DEPOTS(d6cfd4939af841b9beaac2d0d74e082b),"Brussels, Belgium",Presidency,False,,2d4c5b18c315401bc49dcff19a6bb670,Meeting with Mr Pierre-René Lemas on the European Fund for Strategic Investments and the activities of national promotional banks
active,,President Jean-Claude Juncker,2015-11-12T13:31:02.006696,2015-11-12T13:31:01.988596,2015-09-17T00:00:00,Association des maires de France(53d686f8d1d74626aaa1c740909c2659),"Brussels, Belgium",Presidency,False,,06ac79a660858a27630181e2a6509528,Meeting with Mr François Baroin on Investment Plan for Europe
